utility_name,2018,2019,2020,2021,2022,2023
Middle Tennessee E M C,148.71492579482157,141.0117205278084,129.627570769474,133.78390633910178,150.08918018072885,137.13379467094916
Baltimore Gas & Electric Co,115.26574662195763,109.69592648999442,107.81107391108758,110.4191092130392,122.91184730950408,137.05708032601578
Jackson Electric Member Corp - (GA),135.5222259308668,138.26714551964417,138.24654285381493,133.91974923945722,149.6737413409918,136.35175900708938
JEA,126.60465018622216,123.85810881954914,123.41059928551742,121.30890043613913,151.02544617560122,136.31181988122339
Atlantic City Electric Co,120.2365164032775,117.71745613901732,122.40225628290635,130.43399970315826,132.7122796747774,134.27983308954165
Duke Energy Ohio Inc,111.19646450509222,107.17550626323646,104.28178938853743,107.77796269003828,108.8790021283526,133.15785171523189
Volunteer Electric Coop,NA,NA,NA,124.37437043317641,144.9452442283691,133.1315328414512
City of San Antonio - (TX),124.22294148701889,118.37934582340259,117.86925844697775,116.64506536504304,139.43760996737598,133.07979226081852
Pennsylvania Electric Co,108.4273899236978,103.05757436047097,102.34518989508939,104.71427666067673,121.00330880246408,132.9283670788793
Nashville Electric Service,141.3101667370034,133.7715988378532,123.94440091867025,129.2650802081536,143.22004114697742,132.51427089266636
West Penn Power Company,108.40494829067102,105.26857461317394,100.63983317929615,98.58140667575294,119.38608274154524,132.36931281956055
Southwestern Electric Power Co,118.16576443037113,111.67200476891091,111.03338068080765,150.49355329478934,147.83556088556443,132.08995916765494
City of Memphis - (TN),120.88578939733073,120.52343917399679,113.49877727116943,122.67699295977124,140.1812448107799,131.70412173078347
City of Huntsville - (AL),137.26535703514736,130.7740244692173,123.73969603114972,130.61262839686364,146.3478739241678,131.58467219107283
"Duke Energy Indiana, LLC",126.63609859108753,123.20002751271872,118.61003894790534,131.3847910320867,154.6119405786506,131.35659235953412
Indiana Michigan Power Co,116.39979175287218,118.69959609576837,130.02405505441538,134.27945793806472,138.8967663333468,129.7436691617129
Interstate Power and Light Co,122.7351029380268,124.12330869354061,122.97724175004242,126.11488904780737,136.5206514463574,129.28155285403457
Knoxville Utilities Board,125.20235366527572,121.61290769662034,116.9916389795348,122.69133023030905,137.17981461916335,129.05275167813954
The Potomac Edison Company,132.3025854082454,123.7777662792593,121.89354982541286,124.27850939476373,127.7684062293221,128.58144334337618
City of Chattanooga - (TN),134.9379394029635,131.16212210299693,119.56533534751803,126.03650340180657,138.11032705704955,127.73296598338051
Duquesne Light Co,102.4278824545212,99.10624758774524,102.43848427892912,103.78855826122359,118.32621630526509,125.367655191908
Evergy Missouri West,NA,113.4030018869274,114.80385861995025,114.88545770262574,124.6255848000902,124.91515302244702
Cobb Electric Membership Corp,129.98186767437562,129.65729225123357,128.6752026700871,127.32131240185059,133.65008267866648,124.71060107541636
Kentucky Utilities Co,118.3280197989862,119.09166426504417,120.22072466625131,124.93227088455026,141.2762470913377,123.97615408754658
Portland General Electric Co,95.637688095437,98.09891382432221,102.15932122217012,109.98712672401103,113.54388822489287,123.42059627303088
CORE Electric Cooperative,NA,NA,NA,122.19271122550866,128.14916104137328,122.57357982317644
Tucson Electric Power Co,102.78526915191861,96.93072023433628,109.67984422777269,107.57373886708169,110.74501964841274,122.31239658704345
Ohio Edison Co,106.97813272014683,99.83131965439125,95.81896251855775,103.4810038054516,104.4609262142613,121.57415483301418
Union Electric Co - (MO),122.62897897313765,109.69311713175536,106.74144869253495,111.57792277359229,121.315097875131,121.34363188127152
Green Mountain Power Corp,103.9358046022774,99.14515044608093,116.32033266657669,113.92018086879388,118.10329459160191,120.74066494133876
"Duke Energy Carolinas, LLC",118.61381366430733,117.72061993796805,113.0752053445753,111.14025345316834,118.39059414577129,120.46618953422174
Indianapolis Power & Light Co,111.29588172302114,109.38932583705385,104.81201788186337,109.58689730509323,125.6397409588887,119.73793317481172
Wisconsin Electric Power Co,100.43046568770887,98.77368042282323,104.8141142053988,105.8439912088993,111.11748057889142,118.5041141002678
Evergy Metro,NA,117.95082968086825,120.4026865814134,119.3429974526493,122.53760053338188,118.1946133004474
Potomac Electric Power Co,111.836231108225,106.60456028912706,100.69634085337057,101.25166514870673,107.09700039442721,117.52959002425482
Puget Sound Energy Inc,94.62076863918377,92.63773092284733,95.05282951185734,104.32359468650675,108.07608004142273,117.12206364698326
PECO Energy Co,98.53261595428096,95.14383988464107,95.69193212388734,96.9915368286337,110.69018061416999,116.34104531270384
Consumers Energy Co - (MI),NA,NA,NA,NA,NA,115.8993786287403
Northern States Power Co,103.29195157246386,98.15397050575321,99.3521269160339,102.59957982851445,112.49660855959941,115.74998368520914
DTE Electric Company,104.31498371258958,100.93533143867951,116.54898827523326,119.72943423789327,118.44763628916368,115.4054868429066
"Evergy Kansas South, Inc",NA,104.48165443389253,109.62678164541538,109.98012702096467,132.30347345489804,114.68539906220241
Northern Indiana Pub Serv Co,100.40958924213778,97.08698495235919,105.38334026509084,112.00422126555415,115.97589165518652,114.30220277008075
Consolidated Edison Co-NY Inc,102.34777688380288,94.1230205812665,100.65269152015398,104.01463815545722,108.80733691779727,114.17511308119215
Oklahoma Gas & Electric Co,104.84136795499776,102.73869434443867,99.24285061307197,114.98716652997585,145.51856835236543,114.12384743094849
Sacramento Municipal Util Dist,97.61023299523251,99.35050015864581,110.20297381389992,112.403647680811,115.76357339074009,112.83309126935585
Wisconsin Power & Light Co,95.7942601587514,98.75255016858361,97.85402558097499,97.84875095633186,109.24786114803965,112.03181977811681
New York State Elec & Gas Corp,91.62042959814731,81.59238049209227,85.15971737109389,96.36804104525469,115.7747582957164,110.76593470330106
Los Angeles Department of Water & Power,92.07092579946126,96.92091138481082,108.97535348353851,105.67227290152398,113.4581110135119,110.72144237498362
"Evergy Kansas Central, Inc",NA,112.51732434907007,106.08594397379201,107.2041803470182,126.28462166034151,110.42740723078322
Omaha Public Power District,107.6345265071183,104.7675938124539,105.76996953979346,104.98355100072031,110.22160351498792,109.65576818636373
Sierra Pacific Power Co,76.88320746357901,75.42560022645438,73.11811517082624,79.68175840686486,94.76282742560338,109.45157393994891
Connexus Energy,111.05895249427687,106.45325242125742,112.16018722475289,116.56877420102367,112.3192452513247,109.2262499542729
The Toledo Edison Co,NA,NA,NA,NA,NA,109.08759218785865
Tesla Inc.,NA,NA,NA,108.67908223868714,110.33076015757766,109.06745507199426
Idaho Power Co,96.31575462714048,93.12666795639099,94.15312420949489,97.3322204958509,104.62576279887315,108.45185641500878
Monongahela Power Co,107.61618565421195,100.57804229773437,101.16206097544448,98.03021449438984,106.66527287484047,108.29087134395525
Rochester Gas & Electric Corp,94.32885640218358,82.80805984647021,85.88115665097973,94.03835966972127,108.30119904972742,108.22987542914618
Niagara Mohawk Power Corp.,82.26383799527761,78.33518954832797,82.93132556288563,97.18984090392202,120.26203063758038,107.39392421985244
South Carolina Public Service Authority,124.13958870148464,115.16480183044978,108.82493515012985,113.18166721932973,109.58308425396382,106.65683015094935
Louisville Gas & Electric Co,103.82369377182583,104.90405437469612,104.440443476066,106.34766362180325,115.14236141932626,106.23687986399904
Jersey Central Power & Lt Co,105.89404577504794,101.10331251783052,101.40452722203952,105.95425411370995,108.96806841728636,105.45245279652907
Duke Energy Kentucky,93.48453462197546,90.23078175475722,87.38274143619674,100.99213248163421,124.46227989802753,104.28756677849756
